カテゴリ,ページ/ファイル名,パス,ファイルパス,主な機能・UI要素,コンポーネント/機能詳細,ステータス
認証,ログイン,/login,pages/auth/Login.tsx,"ログインフォーム","メールアドレス入力、パスワード入力、ログインボタン、新規登録リンク、デモアカウント表示（管理者/出品者/参加者）、バリデーション、ユーザータイプ別リダイレクト",完了
認証,新規登録,/register,pages/auth/Register.tsx,"会員登録フォーム","名前入力、メールアドレス入力、パスワード入力、パスワード確認、利用規約同意チェックボックス、登録ボタン、ログインリンク",完了
管理者,ダッシュボード,/admin/dashboard,pages/admin/Dashboard.tsx,"管理者トップページ","KPIカード（今月開催回数/総売上/総出品数/登録参加者数）、売上推移バーチャート（recharts）、承認待ちユーザーセクション、承認モーダル（検索/フィルター/承認・却下ボタン）、最近のアクティビティリスト、開催予定オークションテーブル",完了
管理者,お知らせ一覧,/admin/announcements,pages/admin/AnnouncementManagement.tsx,"お知らせ管理","お知らせテーブル、検索バー、ステータスフィルター、新規作成ボタン、編集ボタン、公開/非公開トグル、削除ボタン、優先度表示",完了
管理者,お知らせ作成・編集,/admin/announcements/create,pages/admin/AnnouncementForm.tsx,"お知らせフォーム","タイトル入力、本文入力（リッチテキスト）、公開対象選択（全員/出品者/買受者）、公開日時設定、有効期限設定、優先度選択、保存ボタン、プレビュー",完了
管理者,オークション一覧,/admin/auctions,pages/admin/AuctionManagement.tsx,"オークション管理","オークションカード一覧、ステータスチップ（準備中/開催中/終了）、統計表示（出品数/売上）、生体管理リンク、ライブ管理リンク、落札者管理リンク、新規作成ボタン",完了
管理者,オークション作成・編集,/admin/auctions/create,pages/admin/AuctionForm.tsx,"オークションフォーム","タイトル入力、開催日選択、開始時刻設定、説明入力、出品手数料率設定、買受者手数料率設定、最低手数料設定、手数料計算例表示、保存ボタン",完了
管理者,生体一覧,/admin/auctions/:auctionId/items,pages/admin/ItemManagement.tsx,"出品生体管理","生体テーブル、検索バー、ステータスフィルター、サムネイル表示、品種名/数量/価格表示、プレミアム出品バッジ、編集ボタン、削除ボタン、新規登録ボタン",完了
管理者,生体登録・編集,/admin/auctions/:auctionId/items/create,pages/admin/ItemForm.tsx,"生体登録フォーム","出品者選択（Autocomplete）、出品申込選択、データ自動転記、品種名入力、数量入力、開始価格入力、画像アップロード（最大20枚/プレビュー/削除）、動画アップロード（上見/横見）、個体情報入力、出品者メモ表示、AI画像分析連携、プレミアム出品設定",完了
管理者,ライブコントロール,/admin/auctions/:auctionId/live,pages/admin/LiveControl.tsx,"ライブオークション管理","タブ切替（ライブコントロール/出品一覧）、現在の出品商品表示、入札履歴リアルタイム表示、最高入札者表示、入札額表示、次の商品ボタン、落札確定ボタン、不落札ボタン、出品一覧テーブル（検索/フィルター/統計）",完了
管理者,落札者管理,/admin/auctions/:auctionId/won-items,pages/admin/WonItemManagement.tsx,"落札情報管理","落札一覧テーブル、落札者情報表示、落札価格表示、入金ステータス、伝票番号入力ダイアログ、伝票番号コピーボタン、配送状況確認リンク（ヤマト追跡）、入金確認ボタン、CSV出力ボタン",完了
管理者,出品者一覧,/admin/sellers,pages/admin/SellerManagement.tsx,"出品者管理","KPIカード（総出品者数/有効/承認待ち/停止）、タブフィルター（すべて/有効/承認待ち/停止）、検索バー、出品者テーブル（屋号/代表者/連絡先/出品数/売上/ステータス）、詳細ボタン、承認ボタン、新規登録ボタン",完了
管理者,出品者詳細,/admin/sellers/:id,pages/admin/SellerDetail.tsx,"出品者詳細・編集","基本情報編集（屋号/法人名/代表者/連絡先/住所/事業者登録番号）、口座情報編集（銀行名/支店/口座種別/番号/名義）、出品履歴テーブル、個別手数料率設定、統計グラフ、ステータス変更",完了
管理者,買受者一覧,/admin/buyers,pages/admin/BuyerManagement.tsx,"買受者管理","KPIカード（総買受者数/有効/承認待ち/停止）、タブフィルター、検索バー、買受者テーブル（名前/連絡先/落札数/総額/ステータス）、詳細ボタン、承認ボタン",完了
管理者,買受者詳細,/admin/buyers/:id,pages/admin/BuyerDetail.tsx,"買受者詳細・編集","基本情報編集（名前/連絡先/配送先住所）、入札履歴テーブル、落札履歴、統計グラフ、ステータス変更",完了
管理者,帳票管理,/admin/documents,pages/admin/DocumentManagement.tsx,"帳票発行・管理","タブ切替（請求書/支払通知書/保証書）、請求書発行フォーム（オークション選択/落札者選択/自動生成）、支払通知書発行フォーム（オークション選択/出品者選択）、保証書発行フォーム（種類選択：ブリード/血統/自社品種、品種特徴入力：固定率/表現）、PDF出力ボタン",完了
管理者,AI分析ダッシュボード,/admin/ai-analytics,pages/admin/AIAnalytics.tsx,"AI機能概要","AIメトリクスカード（画像分析数/精度/不正検知数）、AI機能カード一覧（各機能へのリンク）、精度推移折れ線グラフ、カテゴリ分布円グラフ、最近の画像分析結果リスト、不正検知アラートリスト",完了
管理者,AI画像認識,/admin/ai/image-recognition,pages/admin/AIImageRecognition.tsx,"AI画像分析","画像アップロードエリア（ドラッグ&ドロップ/複数選択）、分析開始ボタン、分析結果表示（品種判定/信頼度）、特徴分析（体型/色彩/模様スコア）、レーダーチャート、推奨開始価格表示、AI学習データ収集チェックボックス、分析履歴テーブル",完了
管理者,価格予測システム,/admin/ai/price-prediction,pages/admin/AIPricePrediction.tsx,"AI価格予測","予測フォーム（品種選択/数量入力/品質選択）、予測実行ボタン、予測結果表示（予測価格範囲/信頼度）、市場トレンドグラフ、過去取引データ比較、予測精度推移グラフ、予測履歴テーブル",完了
管理者,異常検知,/admin/ai/fraud-detection,pages/admin/AIFraudDetection.tsx,"AI不正検知","リアルタイムアラートリスト、重要度フィルター（高/中/低）、ステータスフィルター（未対応/対応中/解決）、アラート詳細ダイアログ、統計カード（検知数/対応率）、トレンドグラフ、検知ルール設定パネル",完了
管理者,レコメンドシステム,/admin/ai/recommendations,pages/admin/AIRecommendations.tsx,"AIレコメンド","KPIカード（CTR/CVR/推薦精度）、CTR/CVR推移グラフ、ユーザーセグメント分析テーブル、アルゴリズム性能比較チャート、レコメンド設定パネル（協調フィルタリング/コンテンツベース切替）",完了
管理者,レポート自動生成,/admin/reports,pages/admin/Reports.tsx,"自動レポート","期間選択（週次/月次/カスタム）、レポートタイプ選択（取引サマリー/品種別分析/ユーザー分析）、プレビュー表示、売上グラフ、品種別ランキング、ユーザー行動分析、PDF出力ボタン、Excel出力ボタン",完了
管理者,ユーザー管理（旧）,/admin/users,pages/admin/UserManagement.tsx,"ユーザー一覧（旧）","ユーザーテーブル、検索バー、タイプフィルター、ステータスフィルター",完了
管理者,ユーザー詳細（旧）,/admin/users/:id,pages/admin/UserDetail.tsx,"ユーザー詳細（旧）","ユーザー基本情報表示、編集フォーム",完了
管理者,設定,/admin/settings,pages/admin/Settings.tsx,"システム設定","サイト名設定、連絡先メール設定、登録料設定、出品料設定、配送料設定、梱包料設定、価格増分率設定、カウントダウン秒数設定、通知設定（メール/プッシュ）、保存ボタン",完了
出品者,ダッシュボード,/seller/dashboard,pages/seller/Dashboard.tsx,"出品者トップページ","お知らせリスト（NEW バッジ/アイコン付き）、KPIカード（出品数/落札数/売上/評価）、直近オークション情報、クイックアクションボタン（出品申込/履歴/精算）、挨拶メッセージ",完了
出品者,出品申込,/seller/submit,pages/seller/SubmitItem.tsx,"出品申込フォーム","4ステップStepper（基本情報/画像動画/個体情報/確認）、オークション選択、品種名入力、数量入力、開始価格入力、画像アップロード（最大20枚/プレビュー/個別削除）、動画アップロード、AI画像分析ボタン、分析結果モーダル（品種判定/特徴スコア/推奨価格）、個体情報入力（体型/年齢/健康状態/色柄/繁殖情報）、保証書オプション（血統証明/オリジナル品種：固定率/表現）、確認画面、申込ボタン",完了
